"","Likelihood","pneu","plet","alpha","beta","Nanc","nu","T","scale","level","ss","h_co","fit","rep"
"117",-2948.53595100881,0,0.26,0.223287692175479,110.877244229254,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.26",6
"118",-2904.7117628015,0,0.24,0.218219226378841,137.68568423253,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.24",6
"119",-2870.51706493847,0,0.22,0.212840964915113,172.4515347807,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.22",6
"120",-2844.17727733193,0,0.2,0.208144712780927,214.153825462678,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.2",6
"121",-2824.11988604832,0,0.18,0.203598231463022,266.081200868241,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.18",6
"122",-2808.91434056208,0,0.16,0.199112925342999,331.310293201529,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.16",6
"123",-2797.34977454665,0,0.14,0.1946152281553,414.248291746804,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.14",6
"124",-2788.64584494923,0,0.12,0.190323886396947,518.044833948946,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.12",6
"125",-2782.67421227979,0,0.1,0.186620421000454,642.213308823639,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.1",6
"126",-2779.8459456832,0,0.08,0.183740866904311,783.27791802498,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.08",6
"127",-2780.65336278806,0,0.06,0.181522572542782,941.074039861945,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.06",6
"128",-2785.29473593188,0,0.04,0.179621891886232,1121.48028848785,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.04",6
"129",-2793.55342700929,0,0.02,0.17763580705847,1341.47962539321,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.02",6
"130",-2804.77259421959,0,0,0.174949317464146,1635.00271871894,9830.98475169719,1.0025613700971,0.00448029305909614,"na","0.10","1000","0.5","0.0",6
"131",-4989.63727953856,0,0.5,0.411135338418254,4.63619635628323,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.5",5
"132",-4593.00335837164,0,0.48,0.378009925939244,6.33050530931418,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.48",5
"133",-4255.42036360586,0,0.46,0.351085410003193,8.53956892938239,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.46",5
"134",-3969.50600049954,0,0.44,0.328961631503431,11.3908696033158,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.44",5
"135",-3728.74711083794,0,0.42,0.31056346828405,15.0400519422375,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.42",5
"136",-3527.37167807519,0,0.4,0.29488695505414,19.6987901679699,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.4",5
"137",-3360.23788237438,0,0.38,0.282050319279349,25.4992053238923,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.38",5
"138",-3222.76690052022,0,0.36,0.26999575378719,33.0420129880012,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.36",5
"139",-3110.85143838081,0,0.34,0.259362364602711,42.50262674241,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.34",5
"140",-3020.8139005376,0,0.32,0.250113418597247,54.3654448893039,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.32",5
"141",-2949.36787136119,0,0.3,0.241775417070926,69.2667485901112,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.3",5
"142",-2893.57725771876,0,0.28,0.234215043835626,87.9442387845408,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.28",5
"143",-2850.83384706942,0,0.26,0.227285375473204,111.301484256756,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.26",5
"144",-2818.83123410937,0,0.24,0.220995654630779,140.418493464809,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.24",5
"145",-2795.55448789013,0,0.22,0.215119009980288,176.589599912011,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.22",5
"146",-2779.23639389902,0,0.2,0.209680981968316,221.692027824628,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.2",5
"147",-2768.34106761829,0,0.18,0.204582596207336,277.852872845979,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.18",5
"148",-2761.59492361705,0,0.16,0.199773705008497,347.875137700654,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.16",5
"149",-2758.13483905378,0,0.14,0.195365056161312,433.965159368735,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.14",5
"150",-2757.66997117166,0,0.12,0.19158118006192,536.349019427136,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.12",5
"151",-2760.42931164704,0,0.1,0.188570472940952,653.402146998394,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.1",5
"152",-2766.8392308292,0,0.08,0.186255155690806,784.052411853073,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.08",5
"153",-2777.17941488491,0,0.06,0.184281167853404,933.972496437266,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.06",5
"154",-2791.3784721652,0,0.04,0.182583802505307,1108.1447914999,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.04",5
"155",-2808.98379542981,0,0.02,0.179645392917562,1349.6118952462,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.02",5
"156",-2828.80141297355,0,0,0.176486551453776,1669.36855294288,9754.48874582752,1.08440693127867,0.00160539110830587,"na","0.10","1000","0.5","0.0",5
"157",-5114.62176637352,0,0.5,0.384259728237983,5.09283261584742,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.5",4
"158",-4707.82484784363,0,0.48,0.356332129139937,6.91700794818332,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.48",4
"159",-4359.95855673957,0,0.46,0.333371283165215,9.28610784107485,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.46",4
"160",-4063.71692174719,0,0.44,0.314565594649271,12.3075851488575,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.44",4
"161",-3812.67643486261,0,0.42,0.298873430607284,16.1354539257484,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.42",4
"162",-3601.15672380607,0,0.4,0.285643187640532,20.9501099252742,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.4",4
"163",-3424.11347328029,0,0.38,0.27409218954655,27.0001243456629,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.38",4
"164",-3277.04306475939,0,0.36,0.264049580378464,34.5528723346392,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.36",4
"165",-3155.91897729826,0,0.34,0.25512849115967,43.9697211123565,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.34",4
"166",-3057.13217501061,0,0.32,0.24710686042869,55.6893090921072,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.32",4
"167",-2977.44771520396,0,0.3,0.239835313584702,70.2312048696036,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.3",4
"168",-2913.97147219672,0,0.28,0.233137130150844,88.3236330672625,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.28",4
"169",-2864.12168332583,0,0.26,0.226977138804425,110.696253697316,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.26",4
"170",-2825.60974932034,0,0.24,0.221273662899333,138.347148194025,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.24",4
"171",-2796.41678304716,0,0.22,0.216201693217667,171.666227067673,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.22",4
"172",-2774.77650747467,0,0.2,0.211016051973878,214.520752795884,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.2",4
"173",-2759.11322517349,0,0.18,0.206248210301456,266.726749606995,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.18",4
"174",-2748.04468030893,0,0.16,0.202130944135804,329.088174858653,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.16",4
"175",-2740.52797814215,0,0.14,0.197191560116956,413.38083149856,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.14",4
"176",-2735.9470614952,0,0.12,0.193144696162356,512.613993687471,9778.22408952099,1.02327589714976,0.00634816859435909,"na","0.10","1000","0.5","0.12",4
