"","ss","s","level","h","sd","mean","Type"
"214","10","Nearly Neutral","10% Lethal","0.5",0.00584864832318935,0.110380399990546,"Inferred"
"215","10","Slightly Del.","10% Lethal","0.5",0.0149166273179108,0.168487234389191,"Expected"
"216","10","Slightly Del.","10% Lethal","0.5",0.013517997872234,0.16724197515201,"Inferred"
"217","10","Moderately Del.","10% Lethal","0.5",0.0198220141117417,0.233620380836937,"Expected"
"218","10","Moderately Del.","10% Lethal","0.5",0.0219074837600001,0.241765841237476,"Inferred"
"219","10","Strongly Del.","10% Lethal","0.5",0.0328834072047991,0.274462139684123,"Expected"
"220","10","Strongly Del.","10% Lethal","0.5",0.0334370776728295,0.267908853482896,"Inferred"
"221","100","Neutral","10% Lethal","0.5",0.00459180210538412,0.214463139859779,"Expected"
"222","100","Neutral","10% Lethal","0.5",0.00495300224090022,0.217091020131806,"Inferred"
"223","100","Nearly Neutral","10% Lethal","0.5",0.00224873895716426,0.113053676154121,"Expected"
"224","100","Nearly Neutral","10% Lethal","0.5",0.0023209294922211,0.110982125321374,"Inferred"
"225","100","Slightly Del.","10% Lethal","0.5",0.00549053236493687,0.171055366696519,"Expected"
"226","100","Slightly Del.","10% Lethal","0.5",0.00565537031261713,0.167009856265597,"Inferred"
"227","100","Moderately Del.","10% Lethal","0.5",0.00750616703785002,0.236655519673628,"Expected"
"228","100","Moderately Del.","10% Lethal","0.5",0.00927607200891076,0.240486452306307,"Inferred"
"229","100","Strongly Del.","10% Lethal","0.5",0.0109209048313008,0.264772297615953,"Expected"
"230","100","Strongly Del.","10% Lethal","0.5",0.0132533267509501,0.264430545974916,"Inferred"
"231","1000","Neutral","10% Lethal","0.5",0.00329552148662482,0.213494068148701,"Expected"
"232","1000","Neutral","10% Lethal","0.5",0.00582070763496153,0.221555181612973,"Inferred"
"233","1000","Nearly Neutral","10% Lethal","0.5",0.001252862467057,0.113756561109883,"Expected"
"234","1000","Nearly Neutral","10% Lethal","0.5",0.00249368486739133,0.108737434624402,"Inferred"
"235","1000","Slightly Del.","10% Lethal","0.5",0.00321592357146683,0.172640617963859,"Expected"
"236","1000","Slightly Del.","10% Lethal","0.5",0.00596400064151301,0.161563890756301,"Inferred"
"237","1000","Moderately Del.","10% Lethal","0.5",0.00446928702026366,0.238773706458633,"Expected"
"238","1000","Moderately Del.","10% Lethal","0.5",0.0101390989202125,0.231335636749464,"Inferred"
"239","1000","Strongly Del.","10% Lethal","0.5",0.00603072340971059,0.261335046318924,"Expected"
"240","1000","Strongly Del.","10% Lethal","0.5",0.0137504441016435,0.27680785625686,"Inferred"
