,X,Likelihood,pneu,plet,alpha,beta,Nanc,nu,T,scale,level,ss,h_co,dist,rep
137,137,-386.0953995,0.018782151,0.046256192,0.214744696,512.8194762,9674.92615,1.042639303,0.025485893,na,0.1,100,0,neugammalet,6
138,138,-385.6476506,0,0.017031749,0.203916708,649.9272074,9674.92615,1.042639303,0.025485893,na,0.1,100,0,gammalet,6
139,139,-385.1208944,0.069939439,0,0.246577788,547.4312329,9674.92615,1.042639303,0.025485893,na,0.1,100,0,neugamma,6
140,140,-385.3575582,na,na,0.202983026,721.7723462,9674.92615,1.042639303,0.025485893,na,0.1,100,0,gamma,6
141,141,-382.6618897,0.074719701,0.04931878,0.240456756,523.1174558,9708.291443,1.022451957,0.094340975,na,0.1,100,0,neugammalet,5
142,142,-382.6819207,0,0.030425134,0.192876134,804.6780755,9708.291443,1.022451957,0.094340975,na,0.1,100,0,gammalet,5
143,143,-382.1225129,0.068629897,0,0.230885554,742.3106727,9708.291443,1.022451957,0.094340975,na,0.1,100,0,neugamma,5
144,144,-382.0310707,na,na,0.191074256,989.9786701,9708.291443,1.022451957,0.094340975,na,0.1,100,0,gamma,5
145,145,-408.2630293,0.179662837,0.020139219,0.370971824,304.820911,9482.008361,1.060165072,0.597875567,na,0.1,100,0,neugammalet,4
146,146,-419.2639818,0,0.003636541,0.195559322,888.7654362,9482.008361,1.060165072,0.597875567,na,0.1,100,0,gammalet,4
147,147,-407.5160467,0.17224796,0,0.35564923,355.7634061,9482.008361,1.060165072,0.597875567,na,0.1,100,0,neugamma,4
148,148,-418.9535553,na,na,0.195357001,909.9199404,9482.008361,1.060165072,0.597875567,na,0.1,100,0,gamma,4
149,149,-403.4931771,0.094676928,0.022807092,0.280660769,383.3941834,9821.115269,1.737585763,0.000101212,na,0.1,100,0,neugammalet,3
150,150,-404.4514231,0,0.00106857,0.211096849,635.9776389,9821.115269,1.737585763,0.000101212,na,0.1,100,0,gammalet,3
151,151,-402.5083611,0.098065881,0,0.282822978,422.6463802,9821.115269,1.737585763,0.000101212,na,0.1,100,0,neugamma,3
152,152,-404.3815638,na,na,0.211174554,636.9903251,9821.115269,1.737585763,0.000101212,na,0.1,100,0,gamma,3
153,153,-390.9849021,0.041376038,0.016935637,0.22065997,672.75985,9669.861507,1.052320017,0.047325771,na,0.1,100,0,neugammalet,2
154,154,-393.590485,0,0.081991559,0.202660276,494.4632902,9669.861507,1.052320017,0.047325771,na,0.1,100,0,gammalet,2
155,155,-390.6657985,0.092012179,0,0.256201319,597.4241201,9669.861507,1.052320017,0.047325771,na,0.1,100,0,neugamma,2
156,156,-391.3549834,na,na,0.196030811,892.4103627,9669.861507,1.052320017,0.047325771,na,0.1,100,0,gamma,2
157,157,-396.8113432,0.147151263,0.017307381,0.317431414,397.9420218,9521.615329,1.046246919,0.919609498,na,0.1,100,0,neugammalet,1
158,158,-406.7478661,0,0.049552281,0.198244521,657.8154005,9521.615329,1.046246919,0.919609498,na,0.1,100,0,gammalet,1
159,159,-397.2256743,0.124938717,0,0.287981623,506.7203811,9521.615329,1.046246919,0.919609498,na,0.1,100,0,neugamma,1
160,160,-403.702671,na,na,0.194587304,932.0563681,9521.615329,1.046246919,0.919609498,na,0.1,100,0,gamma,1
161,161,-50.29341288,0.097901056,0.061300374,0.235823306,797.1781177,9627.290412,9.951193462,0.007478671,na,0.1,10,0.5,neugammalet,10
162,162,-49.28559137,0,0.078012117,0.169333897,1382.154421,9627.290412,9.951193462,0.007478671,na,0.1,10,0.5,gammalet,10
163,163,-50.22444939,0.082349614,0,0.219477183,1304.310401,9627.290412,9.951193462,0.007478671,na,0.1,10,0.5,neugamma,10
164,164,-49.41351219,na,na,0.16785766,2407.672051,9627.290412,9.951193462,0.007478671,na,0.1,10,0.5,gamma,10
165,165,-48.88473196,0.103565053,0.026861109,0.256811626,672.9119011,9715.528498,0.97735722,0.063821077,na,0.1,10,0.5,neugammalet,9
166,166,-50.095978,0,0.413287839,0.206666163,48.17489789,9715.528498,0.97735722,0.063821077,na,0.1,10,0.5,gammalet,9
167,167,-49.40297361,0.148296946,0,0.322516025,442.7423293,9715.528498,0.97735722,0.063821077,na,0.1,10,0.5,neugamma,9
168,168,-48.73542621,na,na,0.179340662,1631.218997,9715.528498,0.97735722,0.063821077,na,0.1,10,0.5,gamma,9
169,169,-47.11012015,0.154651188,0.003221717,0.347149747,366.6950297,9752.208881,1.096057037,0.004468106,na,0.1,10,0.5,neugammalet,8
170,170,-47.21209243,0,0.098664883,0.190300175,710.4418637,9752.208881,1.096057037,0.004468106,na,0.1,10,0.5,gammalet,8
171,171,-46.86361955,0.112852984,0,0.284862096,548.9536118,9752.208881,1.096057037,0.004468106,na,0.1,10,0.5,neugamma,8
172,172,-47.11718244,na,na,0.189425525,1265.521638,9752.208881,1.096057037,0.004468106,na,0.1,10,0.5,gamma,8
173,173,-50.59575896,0.095318343,0.012496752,0.229168521,1047.435963,9604.810008,3.155844317,0.012055438,na,0.1,10,0.5,neugammalet,7
174,174,-46.90647088,0,0.415508222,0.211339705,40.47665145,9604.810008,3.155844317,0.012055438,na,0.1,10,0.5,gammalet,7
175,175,-49.77257238,0.035751886,0,0.185030663,1838.306311,9604.810008,3.155844317,0.012055438,na,0.1,10,0.5,neugamma,7
176,176,-49.33204203,na,na,0.167353852,2277.579181,9604.810008,3.155844317,0.012055438,na,0.1,10,0.5,gamma,7
177,177,-49.85430702,0.116226594,0.075106192,0.245853365,709.3488513,9579.047055,1.042880795,0.412824761,na,0.1,10,0.5,neugammalet,6
178,178,-50.39666411,0,0.16991231,0.165683209,780.3774984,9579.047055,1.042880795,0.412824761,na,0.1,10,0.5,gammalet,6
179,179,-49.86186918,0.182735029,0,0.343208195,491.7919103,9579.047055,1.042880795,0.412824761,na,0.1,10,0.5,neugamma,6
180,180,-50.16639847,na,na,0.164942988,2494.428013,9579.047055,1.042880795,0.412824761,na,0.1,10,0.5,gamma,6
181,181,-49.0229625,0.117956115,0.00165141,0.289656767,489.4959638,9504.597712,1.040930858,0.806173927,na,0.1,10,0.5,neugammalet,5
182,182,-49.06860374,0,0.020336002,0.189846486,1053.796279,9504.597712,1.040930858,0.806173927,na,0.1,10,0.5,gammalet,5
183,183,-48.96087602,0.084492213,0,0.251006827,669.8561127,9504.597712,1.040930858,0.806173927,na,0.1,10,0.5,neugamma,5
